Id,Name,Specie,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link
D10CP3C,Coal - Fired Power Plant,Iron,2.5518,0.1832,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022
D10CP3C,Coal - Fired Power Plant,Gallium,0.054,0.0345,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023
D10CP3C,Coal - Fired Power Plant,Hafnium,0.0546,0.0152,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024
D10CP3C,Coal - Fired Power Plant,Mercury,0.007,0.005,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025
D10CP3C,Coal - Fired Power Plant,Indium,0.0561,0.0403,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026
D10CP3C,Coal - Fired Power Plant,Potassium,0.266,0.1693,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440-74-7,K,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.16",https://doi.org/10.1016/j.atmosres.2013.04.027
D10CP3C,Coal - Fired Power Plant,Lutetium,0.0007,0.0005,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7440 09 07,Lu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.17",https://doi.org/10.1016/j.atmosres.2013.04.028
D10CP3C,Coal - Fired Power Plant,Magnesium,0.0888,0.0088,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7439-95-4,Mg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.18",https://doi.org/10.1016/j.atmosres.2013.04.029
D10CP3C,Coal - Fired Power Plant,Manganese,0.0428,0.0035,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7439-96-5,Mn,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.19",https://doi.org/10.1016/j.atmosres.2013.04.030
D10CP3C,Coal - Fired Power Plant,Molybdenum,0.0324,0.0069,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"NTPC Badarpur, Delhi",27/11/2007,ESP,Composite of 3 samples taken from a 705MW plant in Delhi after electrostatic precipitator using an isokinetic sampling probe and a dilution chamber(1:10) for 60 min sampling duration,23.81582,70.70588,7439-98-7,Mo,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.20",https://doi.org/10.1016/j.atmosres.2013.04.031
